#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
Genome/Canada_GCA_019582375.fna	ABBXFM010000021.1	4157	4594	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019582555.fna	ABBXFZ010000001.1	815093	815530	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019582555.fna	ABBXFZ010000024.1	4843	5280	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019582565.fna	ABBXGD010000001.1	821202	821639	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019582565.fna	ABBXGD010000020.1	135	572	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019582595.fna	ABBXGB010000001.1	815093	815530	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019582595.fna	ABBXGB010000025.1	2545	2982	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019582655.fna	ABBXGR010000001.1	815093	815530	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019582655.fna	ABBXGR010000020.1	2202	2639	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019582695.fna	ABBXGQ010000001.1	384401	384838	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019582695.fna	ABBXGQ010000023.1	10326	10763	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019582735.fna	ABBXGI010000001.1	170906	171343	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019582735.fna	ABBXGI010000045.1	26684	27121	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019582815.fna	ABBXGG010000001.1	815093	815530	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019582815.fna	ABBXGG010000018.1	22239	22676	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019583915.fna	ABBXIC010000001.1	821202	821639	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019583915.fna	ABBXIC010000016.1	44276	44713	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019584035.fna	ABBXHT010000001.1	815093	815530	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019584035.fna	ABBXHT010000017.1	19620	20057	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019584055.fna	ABBXHX010000001.1	815093	815530	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019584055.fna	ABBXHX010000024.1	10941	11378	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019584075.fna	ABBXHV010000005.1	222944	223381	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019584075.fna	ABBXHV010000040.1	7418	7855	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019584265.fna	ABBXHZ010000001.1	815093	815530	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019584265.fna	ABBXHZ010000020.1	2216	2653	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019584315.fna	ABBXHY010000001.1	1105435	1105872	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019584315.fna	ABBXHY010000015.1	85	900	-	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
Genome/Canada_GCA_019584315.fna	ABBXHY010000015.1	4585	5421	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
Genome/Canada_GCA_019584315.fna	ABBXHY010000015.1	5421	6200	-	aph(3'')-Ib_5	25-804/804	===============	0/0	97.01	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
Genome/Canada_GCA_019584315.fna	ABBXHY010000029.1	7049	7486	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019584315.fna	ABBXHY010000032.1	97	912	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
Genome/Canada_GCA_019584315.fna	ABBXHY010000032.1	973	1776	+	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
Genome/Canada_GCA_019584315.fna	ABBXHY010000032.1	1776	2612	+	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
Genome/Canada_GCA_019586325.fna	ABBXIF010000002.1	170868	171305	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019586325.fna	ABBXIF010000064.1	1241	1679	+	aac(6')-Iaa_1	1-438/438	========/======	1/1	100.00	96.13	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019586325.fna	ABBXIF010000065.1	1241	1678	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019588685.fna	ABBXIW010000001.1	815093	815530	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019588685.fna	ABBXIW010000029.1	28598	29035	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019588725.fna	ABBXJF010000001.1	815093	815530	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019588725.fna	ABBXJF010000018.1	1414	2058	+	qnrB19_1	1-645/645	===============	0/0	100.00	100.00	resfinder	EU432277	qnrB19	Ciprofloxacin
Genome/Canada_GCA_019588725.fna	ABBXJF010000023.1	14087	14524	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019588745.fna	ABBXJI010000001.1	553577	554014	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019588745.fna	ABBXJI010000019.1	7428	7865	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019588765.fna	ABBXJH010000001.1	898867	899304	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019588765.fna	ABBXJH010000018.1	7358	7795	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019588825.fna	ABBXJK010000001.1	815093	815530	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019588825.fna	ABBXJK010000023.1	32634	33071	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019588865.fna	ABBXJL010000001.1	815093	815530	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019588865.fna	ABBXJL010000019.1	26843	27280	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019588985.fna	ABBXJX010000001.1	812547	812984	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019588985.fna	ABBXJX010000025.1	1749	2186	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019589065.fna	ABBXJT010000001.1	815093	815530	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019589065.fna	ABBXJT010000022.1	19260	19697	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019589105.fna	ABBXJP010000001.1	539795	540232	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019589105.fna	ABBXJP010000041.1	14117	14554	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019589125.fna	ABBXJO010000001.1	815093	815530	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019589125.fna	ABBXJO010000019.1	19620	20057	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019589245.fna	ABBXKF010000001.1	52307	52744	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019589245.fna	ABBXKF010000052.1	44276	44713	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019593325.fna	ABBXRZ010000024.1	17212	17649	-	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Canada_GCA_019593325.fna	ABBXRZ010000096.1	44276	44713	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
Genome/Hong_Kong_Sal100_19_contigs.fa	NODE_13_length_87724_cov_93.043493	43391	44251	-	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
Genome/Hong_Kong_Sal100_19_contigs.fa	NODE_13_length_87724_cov_93.043493	64639	65454	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
Genome/Hong_Kong_Sal100_19_contigs.fa	NODE_13_length_87724_cov_93.043493	65515	66318	+	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
Genome/Hong_Kong_Sal100_19_contigs.fa	NODE_13_length_87724_cov_93.043493	66318	67154	+	aph(6)-Id_1	1-837/837	===============	0/0	100.00	99.88	resfinder	M28829	aph(6)-Id	Streptomycin
Genome/Hong_Kong_Sal100_19_contigs.fa	NODE_13_length_87724_cov_93.043493	67875	68735	-	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
Genome/Hong_Kong_Sal100_19_contigs.fa	NODE_1_length_1549504_cov_30.556317	815274	815711	+	aac(6')-Iaa_1	1-438/438	===============	0/0	100.00	96.35	resfinder	NC_003197	aac(6')-Iaa	Amikacin;Tobramycin
